t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=2c7eff28331f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=fdea4e5ec45e l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=d006334931f1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=94a397431b9c l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=d6fa0168bfe3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=597c3f9829a5 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=54efd338c979 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=d6c4863d81af l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:56+0100 lvl=info msg="join connections" obj=join id=4a7ad37a66ac l=[::1]:3000 r=105.127.13.198:19437
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=5fdb3c9f251b l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=510cbaf0b934 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=cb4ec293f030 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=81dbd171b72a l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=f21ba8cec646 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=73c5c823050a l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=acbdabf0f79f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=7077bdb358e1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=9b8ae97e5564 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=9698f9cf53df l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=3ab805fd45c6 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=9597556f2476 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=1e085b1ad065 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=910a95a8a64e l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=786a61d20607 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:02+0100 lvl=info msg="join connections" obj=join id=7d770a18d365 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:17:03+0100 lvl=info msg="join connections" obj=join id=918c9807acd5 l=[::1]:3000 r=105.127.13.198:19437
t=2026-07-25T14:17:03+0100 lvl=info msg="join connections" obj=join id=fef8678338f5 l=[::1]:3000 r=105.127.13.198:19473
t=2026-07-25T14:17:09+0100 lvl=info msg="join connections" obj=join id=99b2149f6eeb l=[::1]:3000 r=105.127.13.198:19437
t=2026-07-25T14:17:15+0100 lvl=info msg="join connections" obj=join id=69d8d17ce20f l=[::1]:3000 r=105.127.13.198:19473
t=2026-07-25T14:17:16+0100 lvl=info msg="join connections" obj=join id=65326205256c l=[::1]:3000 r=105.127.13.198:19437
t=2026-07-25T14:17:23+0100 lvl=info msg="join connections" obj=join id=aaab9938376d l=[::1]:3000 r=105.127.13.198:19449
